Model,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.8305983756008619,0.8641578755729504,0.7553191489361702,0.47270306258322237,0.5814905814905815,0.5030760246123052
Decision Tree,0.8110392839383391,0.7469078968055834,0.6208277703604806,0.6191744340878829,0.62,0.49425653568543826
KNN,0.8332504558262888,0.8614962291137748,0.6847988077496274,0.6118508655126498,0.6462728551336147,0.5390967955111746
Naive Bayes,0.7908171722194597,0.8388629770766911,0.6671309192200557,0.3189081225033289,0.4315315315315315,0.3554361175590856
Random Forest,0.863583623404608,0.9135520328813402,0.7718174539631706,0.6418109187749668,0.7008360596146855,0.617827047358319
